subcategory,result_descriptions
Developer/Programmer,application erp warehouse develop software manage software fb erp develop develop desktop web development sdlc waterfall agile desktop programming web frontend backend database management design development msql azure db sql desktop web mobile frontendbackend vbnet aspnet java php android java kotlin programming
Security,monitoring control repair management security monitor develop network security bcp electronic banking utilization controller report repair bod monitor audit development monitor internet control banking analytical security security office
Business/System Analyst,analyze design education informatics engineering informatics management engineering sql script programming net programming rdbms data management testing uat analysis analyst analyst path analyst
Management,
Network & System Administration,design analyze management analysis application analyze design application software design design develop software software uat maintenance maintenance have erp hr software management recruitment management analytical manage erphr microsoft office web have
Engineering - Network,management platform execute testing testing deployment analyze manage develop comply science software testing app testing scripting programming python develop ui api script testing jmeter postman app testing ddms mysql database sql script unixlinux linux command shell script analytical problemsolving troubleshoot testing engineer
Network & System Administration,
Network & System Administration,report report warehouse stock warehouse stock report stock education microsoft office excel admin chinese
Business/System Analyst,analyze management development design development design manage software development design analysis monitor verifying software development education engineering analysis microsoft crm erp analysis analysis accounting marketing
Network & System Administration,design configure maintain server network monitor troubleshoot hardware software network manage security backup data design maintain query science engineer financial server network windowslinux servers virtualization vmware hyperv cloud platform azure network administration vpn scripting powershell cybersecurity problemsolving manage ccna development
Business/System Analyst,software development lifecycle
Help Desk & IT Support,analyze troubleshoot application software hardware server education engineeringinformation engineering window server directory window window powershell tcpip lan wan sdwan wan endpoint security endpoint management mobile device management nas backup virtualization linux administration sql db path
Engineering - Network,telecommunication engineer cctv cctv cctv installation installation controller installation installation installation software installation monitor cctv installation
Management,warehouse management wms management tms management sql query csv api analytical analyze root analysis data analysis design design testing uat
Product Management & Development,architectural design application design design database design deployment developer utilization engineering engineering electrical internet have manufacturing agile scrum
Business/System Analyst,analyst
Security,manage manage directory manage domain controller server manage server storage monitor analyze report manage server os windows linux maintain analyze report manage cloud server maintain analyze report maintain manage server maintain analyze report manage science maintain server storage hardware netapp window linux redhat debian ubuntu window server redhat debian ubuntu server domain controller monitor server ram storage monitoring maintain server edit windows server directory hardware problemsolving
Network & System Administration,maintain develop server hardware server software education engineeringinformation engineering window messaging proxy server internetworking tcpip backup have administration sql virus window server iis web server storage network san have mcp microsoft have microsoft engineer security virtualization vmware engineer engineer sql server developer
Business/System Analyst,analyst programming database management rdbms
Business/System Analyst,analyst have analysis have manufacturing analysis fsd uat maintain report management engineering maintain
Network & System Administration,
Database Development & Administration,male science manage maintain data management management database management sql php css javascript codeigniter laravel framework develop development manage maintain server security networking hardware software data security analyst programmer network hardware software data security backup maintenance security storage report sql query database management rdbms programming data analysis fmcg
Business/System Analyst,analyze design network security manage securityrelated monitor science analyst analyst network security management manage networking tcpip lanwan vpn security security iso azure devop maintain analytical problemsolving attractive
Business/System Analyst,analyst programming sql query
Business/System Analyst,development analyst analyst unify uml plsql query develop design diagram diagram analytical analyst
Business/System Analyst,application development mobile application application development analyst programmer analyst erd uml sql query analysis developer developer report developer management analyst analyze developer technological development technological developer analyst analyst sql query erp microsoft office
Business/System Analyst,nan
Business/System Analyst,sdlc design software designmodeling following unify uml diagram diagram database design logical database design software design visio logical analytical problemsolving analyst
Business/System Analyst,analyst programming sql query
Network & System Administration,analysis design dictionary programming design application application maintain software analyst analyst analyst utilize develop application develop analyst analyst education science engineering administration postgraduate analysis programming management manufacturing analyst network application application manage application application minicomputer microcomputer have query sql develop erp application erp microsoft
Business/System Analyst,
Network & System Administration,microsoft administrator office software administrator office
Developer/Programmer,application erp warehouse develop software manage software fb erp develop develop desktop web development sdlc waterfall agile desktop programming web frontend backend database management design development msql azure db sql desktop web mobile frontendbackend vbnet aspnet java php android java kotlin programming
Security,monitoring control repair management security monitor develop network security bcp electronic banking utilization controller report repair bod monitor audit development monitor internet control banking analytical security security office
Business/System Analyst,analyze design education informatics engineering informatics management engineering sql script programming net programming rdbms data management testing uat analysis analyst analyst path analyst
Management,
Network & System Administration,design analyze management analysis application analyze design application software design design develop software software uat maintenance maintenance have erp hr software management recruitment management analytical manage erphr microsoft office web have
Engineering - Network,management platform execute testing testing deployment analyze manage develop comply science software testing app testing scripting programming python develop ui api script testing jmeter postman app testing ddms mysql database sql script unixlinux linux command shell script analytical problemsolving troubleshoot testing engineer
Network & System Administration,
Network & System Administration,report report warehouse stock warehouse stock report stock education microsoft office excel admin chinese
Business/System Analyst,analyze management development design development design manage software development design analysis monitor verifying software development education engineering analysis microsoft crm erp analysis analysis accounting marketing
Network & System Administration,design configure maintain server network monitor troubleshoot hardware software network manage security backup data design maintain query science engineer financial server network windowslinux servers virtualization vmware hyperv cloud platform azure network administration vpn scripting powershell cybersecurity problemsolving manage ccna development
Business/System Analyst,software development lifecycle
Help Desk & IT Support,analyze troubleshoot application software hardware server education engineeringinformation engineering window server directory window window powershell tcpip lan wan sdwan wan endpoint security endpoint management mobile device management nas backup virtualization linux administration sql db path
Management,warehouse management wms management tms management sql query csv api analytical analyze root analysis data analysis design design testing uat
Engineering - Network,telecommunication engineer cctv cctv cctv installation installation controller installation installation installation software installation monitor cctv installation
Product Management & Development,architectural design application design design database design deployment developer utilization engineering engineering electrical internet have manufacturing agile scrum
Business/System Analyst,analyst
Security,manage manage directory manage domain controller server manage server storage monitor analyze report manage server os windows linux maintain analyze report manage cloud server maintain analyze report maintain manage server maintain analyze report manage science maintain server storage hardware netapp window linux redhat debian ubuntu window server redhat debian ubuntu server domain controller monitor server ram storage monitoring maintain server edit windows server directory hardware problemsolving
Network & System Administration,maintain develop server hardware server software education engineeringinformation engineering window messaging proxy server internetworking tcpip backup have administration sql virus window server iis web server storage network san have mcp microsoft have microsoft engineer security virtualization vmware engineer engineer sql server developer
Business/System Analyst,analyst programming database management rdbms
Business/System Analyst,analyst have analysis have manufacturing analysis fsd uat maintain report management engineering maintain
Network & System Administration,
Database Development & Administration,male science manage maintain data management management database management sql php css javascript codeigniter laravel framework develop development manage maintain server security networking hardware software data security analyst programmer network hardware software data security backup maintenance security storage report sql query database management rdbms programming data analysis fmcg
Business/System Analyst,analyze design network security manage securityrelated monitor science analyst analyst network security management manage networking tcpip lanwan vpn security security iso azure devop maintain analytical problemsolving attractive
Business/System Analyst,analyst programming sql query
Business/System Analyst,development analyst analyst unify uml plsql query develop design diagram diagram analytical analyst
Business/System Analyst,application development mobile application application development analyst programmer analyst erd uml sql query analysis developer developer report developer management analyst analyze developer technological development technological developer analyst analyst sql query erp microsoft office
Business/System Analyst,nan
Business/System Analyst,sdlc design software designmodeling following unify uml diagram diagram database design logical database design software design visio logical analytical problemsolving analyst
Business/System Analyst,analyst programming sql query
Network & System Administration,analysis design dictionary programming design application application maintain software analyst analyst analyst utilize develop application develop analyst analyst education science engineering administration postgraduate analysis programming management manufacturing analyst network application application manage application application minicomputer microcomputer have query sql develop erp application erp microsoft
Business/System Analyst,
Network & System Administration,microsoft administrator office software administrator office
Developer/Programmer,application erp warehouse develop software manage software fb erp develop develop desktop web development sdlc waterfall agile desktop programming web frontend backend database management design development msql azure db sql desktop web mobile frontendbackend vbnet aspnet java php android java kotlin programming
Security,monitoring control repair management security monitor develop network security bcp electronic banking utilization controller report repair bod monitor audit development monitor internet control banking analytical security security office
Business/System Analyst,analyze design education informatics engineering informatics management engineering sql script programming net programming rdbms data management testing uat analysis analyst analyst path analyst
Management,
Network & System Administration,design analyze management analysis application analyze design application software design design develop software software uat maintenance maintenance have erp hr software management recruitment management analytical manage erphr microsoft office web have
Engineering - Network,management platform execute testing testing deployment analyze manage develop comply science software testing app testing scripting programming python develop ui api script testing jmeter postman app testing ddms mysql database sql script unixlinux linux command shell script analytical problemsolving troubleshoot testing engineer
Network & System Administration,
Network & System Administration,report report warehouse stock warehouse stock report stock education microsoft office excel admin chinese
Business/System Analyst,analyze management development design development design manage software development design analysis monitor verifying software development education engineering analysis microsoft crm erp analysis analysis accounting marketing
Network & System Administration,design configure maintain server network monitor troubleshoot hardware software network manage security backup data design maintain query science engineer financial server network windowslinux servers virtualization vmware hyperv cloud platform azure network administration vpn scripting powershell cybersecurity problemsolving manage ccna development
Business/System Analyst,software development lifecycle
Help Desk & IT Support,analyze troubleshoot application software hardware server education engineeringinformation engineering window server directory window window powershell tcpip lan wan sdwan wan endpoint security endpoint management mobile device management nas backup virtualization linux administration sql db path
Management,warehouse management wms management tms management sql query csv api analytical analyze root analysis data analysis design design testing uat
Engineering - Network,telecommunication engineer cctv cctv cctv installation installation controller installation installation installation software installation monitor cctv installation
Product Management & Development,architectural design application design design database design deployment developer utilization engineering engineering electrical internet have manufacturing agile scrum
Business/System Analyst,analyst
Security,manage manage directory manage domain controller server manage server storage monitor analyze report manage server os windows linux maintain analyze report manage cloud server maintain analyze report maintain manage server maintain analyze report manage science maintain server storage hardware netapp window linux redhat debian ubuntu window server redhat debian ubuntu server domain controller monitor server ram storage monitoring maintain server edit windows server directory hardware problemsolving
Network & System Administration,maintain develop server hardware server software education engineeringinformation engineering window messaging proxy server internetworking tcpip backup have administration sql virus window server iis web server storage network san have mcp microsoft have microsoft engineer security virtualization vmware engineer engineer sql server developer
Business/System Analyst,analyst programming database management rdbms
Business/System Analyst,analyst have analysis have manufacturing analysis fsd uat maintain report management engineering maintain
Network & System Administration,
Database Development & Administration,male science manage maintain data management management database management sql php css javascript codeigniter laravel framework develop development manage maintain server security networking hardware software data security analyst programmer network hardware software data security backup maintenance security storage report sql query database management rdbms programming data analysis fmcg
Business/System Analyst,analyze design network security manage securityrelated monitor science analyst analyst network security management manage networking tcpip lanwan vpn security security iso azure devop maintain analytical problemsolving attractive
Business/System Analyst,analyst programming sql query
Business/System Analyst,development analyst analyst unify uml plsql query develop design diagram diagram analytical analyst
Business/System Analyst,application development mobile application application development analyst programmer analyst erd uml sql query analysis developer developer report developer management analyst analyze developer technological development technological developer analyst analyst sql query erp microsoft office
Business/System Analyst,nan
Business/System Analyst,sdlc design software designmodeling following unify uml diagram diagram database design logical database design software design visio logical analytical problemsolving analyst
Business/System Analyst,analyst programming sql query
Network & System Administration,analysis design dictionary programming design application application maintain software analyst analyst analyst utilize develop application develop analyst analyst education science engineering administration postgraduate analysis programming management manufacturing analyst network application application manage application application minicomputer microcomputer have query sql develop erp application erp microsoft
Business/System Analyst,
Network & System Administration,microsoft administrator office software administrator office
Developer/Programmer,application erp warehouse develop software manage software fb erp develop develop desktop web development sdlc waterfall agile desktop programming web frontend backend database management design development msql azure db sql desktop web mobile frontendbackend vbnet aspnet java php android java kotlin programming
Security,monitoring control repair management security monitor develop network security bcp electronic banking utilization controller report repair bod monitor audit development monitor internet control banking analytical security security office
Business/System Analyst,analyze design education informatics engineering informatics management engineering sql script programming net programming rdbms data management testing uat analysis analyst analyst path analyst
Management,
Network & System Administration,design analyze management analysis application analyze design application software design design develop software software uat maintenance maintenance have erp hr software management recruitment management analytical manage erphr microsoft office web have
Engineering - Network,management platform execute testing testing deployment analyze manage develop comply science software testing app testing scripting programming python develop ui api script testing jmeter postman app testing ddms mysql database sql script unixlinux linux command shell script analytical problemsolving troubleshoot testing engineer
Network & System Administration,
Network & System Administration,report report warehouse stock warehouse stock report stock education microsoft office excel admin chinese
Business/System Analyst,analyze management development design development design manage software development design analysis monitor verifying software development education engineering analysis microsoft crm erp analysis analysis accounting marketing
Network & System Administration,design configure maintain server network monitor troubleshoot hardware software network manage security backup data design maintain query science engineer financial server network windowslinux servers virtualization vmware hyperv cloud platform azure network administration vpn scripting powershell cybersecurity problemsolving manage ccna development
Business/System Analyst,software development lifecycle
Help Desk & IT Support,analyze troubleshoot application software hardware server education engineeringinformation engineering window server directory window window powershell tcpip lan wan sdwan wan endpoint security endpoint management mobile device management nas backup virtualization linux administration sql db path
Engineering - Network,telecommunication engineer cctv cctv cctv installation installation controller installation installation installation software installation monitor cctv installation
Management,warehouse management wms management tms management sql query csv api analytical analyze root analysis data analysis design design testing uat
Product Management & Development,architectural design application design design database design deployment developer utilization engineering engineering electrical internet have manufacturing agile scrum
Business/System Analyst,analyst
Security,manage manage directory manage domain controller server manage server storage monitor analyze report manage server os windows linux maintain analyze report manage cloud server maintain analyze report maintain manage server maintain analyze report manage science maintain server storage hardware netapp window linux redhat debian ubuntu window server redhat debian ubuntu server domain controller monitor server ram storage monitoring maintain server edit windows server directory hardware problemsolving
Network & System Administration,maintain develop server hardware server software education engineeringinformation engineering window messaging proxy server internetworking tcpip backup have administration sql virus window server iis web server storage network san have mcp microsoft have microsoft engineer security virtualization vmware engineer engineer sql server developer
Business/System Analyst,analyst programming database management rdbms
Business/System Analyst,analyst have analysis have manufacturing analysis fsd uat maintain report management engineering maintain
Network & System Administration,
Database Development & Administration,male science manage maintain data management management database management sql php css javascript codeigniter laravel framework develop development manage maintain server security networking hardware software data security analyst programmer network hardware software data security backup maintenance security storage report sql query database management rdbms programming data analysis fmcg
Business/System Analyst,analyze design network security manage securityrelated monitor science analyst analyst network security management manage networking tcpip lanwan vpn security security iso azure devop maintain analytical problemsolving attractive
Business/System Analyst,analyst programming sql query
Business/System Analyst,development analyst analyst unify uml plsql query develop design diagram diagram analytical analyst
Business/System Analyst,application development mobile application application development analyst programmer analyst erd uml sql query analysis developer developer report developer management analyst analyze developer technological development technological developer analyst analyst sql query erp microsoft office
Business/System Analyst,nan
Business/System Analyst,sdlc design software designmodeling following unify uml diagram diagram database design logical database design software design visio logical analytical problemsolving analyst
Business/System Analyst,analyst programming sql query
Network & System Administration,analysis design dictionary programming design application application maintain software analyst analyst analyst utilize develop application develop analyst analyst education science engineering administration postgraduate analysis programming management manufacturing analyst network application application manage application application minicomputer microcomputer have query sql develop erp application erp microsoft
Business/System Analyst,
Network & System Administration,microsoft administrator office software administrator office
Developer/Programmer,application erp warehouse develop software manage software fb erp develop develop desktop web development sdlc waterfall agile desktop programming web frontend backend database management design development msql azure db sql desktop web mobile frontendbackend vbnet aspnet java php android java kotlin programming
Security,monitoring control repair management security monitor develop network security bcp electronic banking utilization controller report repair bod monitor audit development monitor internet control banking analytical security security office
Business/System Analyst,analyze design education informatics engineering informatics management engineering sql script programming net programming rdbms data management testing uat analysis analyst analyst path analyst
Management,
Network & System Administration,design analyze management analysis application analyze design application software design design develop software software uat maintenance maintenance have erp hr software management recruitment management analytical manage erphr microsoft office web have
Engineering - Network,management platform execute testing testing deployment analyze manage develop comply science software testing app testing scripting programming python develop ui api script testing jmeter postman app testing ddms mysql database sql script unixlinux linux command shell script analytical problemsolving troubleshoot testing engineer
Network & System Administration,
Network & System Administration,report report warehouse stock warehouse stock report stock education microsoft office excel admin chinese
Business/System Analyst,analyze management development design development design manage software development design analysis monitor verifying software development education engineering analysis microsoft crm erp analysis analysis accounting marketing
Network & System Administration,design configure maintain server network monitor troubleshoot hardware software network manage security backup data design maintain query science engineer financial server network windowslinux servers virtualization vmware hyperv cloud platform azure network administration vpn scripting powershell cybersecurity problemsolving manage ccna development
Business/System Analyst,software development lifecycle
Help Desk & IT Support,analyze troubleshoot application software hardware server education engineeringinformation engineering window server directory window window powershell tcpip lan wan sdwan wan endpoint security endpoint management mobile device management nas backup virtualization linux administration sql db path
Engineering - Network,telecommunication engineer cctv cctv cctv installation installation controller installation installation installation software installation monitor cctv installation
Management,warehouse management wms management tms management sql query csv api analytical analyze root analysis data analysis design design testing uat
Product Management & Development,architectural design application design design database design deployment developer utilization engineering engineering electrical internet have manufacturing agile scrum
Business/System Analyst,analyst
Security,manage manage directory manage domain controller server manage server storage monitor analyze report manage server os windows linux maintain analyze report manage cloud server maintain analyze report maintain manage server maintain analyze report manage science maintain server storage hardware netapp window linux redhat debian ubuntu window server redhat debian ubuntu server domain controller monitor server ram storage monitoring maintain server edit windows server directory hardware problemsolving
Network & System Administration,maintain develop server hardware server software education engineeringinformation engineering window messaging proxy server internetworking tcpip backup have administration sql virus window server iis web server storage network san have mcp microsoft have microsoft engineer security virtualization vmware engineer engineer sql server developer
Business/System Analyst,analyst programming database management rdbms
Business/System Analyst,analyst have analysis have manufacturing analysis fsd uat maintain report management engineering maintain
Network & System Administration,
Database Development & Administration,male science manage maintain data management management database management sql php css javascript codeigniter laravel framework develop development manage maintain server security networking hardware software data security analyst programmer network hardware software data security backup maintenance security storage report sql query database management rdbms programming data analysis fmcg
Business/System Analyst,analyze design network security manage securityrelated monitor science analyst analyst network security management manage networking tcpip lanwan vpn security security iso azure devop maintain analytical problemsolving attractive
Business/System Analyst,analyst programming sql query
Business/System Analyst,development analyst analyst unify uml plsql query develop design diagram diagram analytical analyst
Business/System Analyst,application development mobile application application development analyst programmer analyst erd uml sql query analysis developer developer report developer management analyst analyze developer technological development technological developer analyst analyst sql query erp microsoft office
Business/System Analyst,nan
Business/System Analyst,sdlc design software designmodeling following unify uml diagram diagram database design logical database design software design visio logical analytical problemsolving analyst
Business/System Analyst,analyst programming sql query
Network & System Administration,analysis design dictionary programming design application application maintain software analyst analyst analyst utilize develop application develop analyst analyst education science engineering administration postgraduate analysis programming management manufacturing analyst network application application manage application application minicomputer microcomputer have query sql develop erp application erp microsoft
Business/System Analyst,
Network & System Administration,microsoft administrator office software administrator office
Developer/Programmer,application erp warehouse develop software manage software fb erp develop develop desktop web development sdlc waterfall agile desktop programming web frontend backend database management design development msql azure db sql desktop web mobile frontendbackend vbnet aspnet java php android java kotlin programming
Security,monitoring control repair management security monitor develop network security bcp electronic banking utilization controller report repair bod monitor audit development monitor internet control banking analytical security security office
Business/System Analyst,analyze design education informatics engineering informatics management engineering sql script programming net programming rdbms data management testing uat analysis analyst analyst path analyst
Management,
Network & System Administration,design analyze management analysis application analyze design application software design design develop software software uat maintenance maintenance have erp hr software management recruitment management analytical manage erphr microsoft office web have
Engineering - Network,management platform execute testing testing deployment analyze manage develop comply science software testing app testing scripting programming python develop ui api script testing jmeter postman app testing ddms mysql database sql script unixlinux linux command shell script analytical problemsolving troubleshoot testing engineer
Network & System Administration,
Network & System Administration,report report warehouse stock warehouse stock report stock education microsoft office excel admin chinese
Business/System Analyst,analyze management development design development design manage software development design analysis monitor verifying software development education engineering analysis microsoft crm erp analysis analysis accounting marketing
Network & System Administration,design configure maintain server network monitor troubleshoot hardware software network manage security backup data design maintain query science engineer financial server network windowslinux servers virtualization vmware hyperv cloud platform azure network administration vpn scripting powershell cybersecurity problemsolving manage ccna development
Business/System Analyst,software development lifecycle
Help Desk & IT Support,analyze troubleshoot application software hardware server education engineeringinformation engineering window server directory window window powershell tcpip lan wan sdwan wan endpoint security endpoint management mobile device management nas backup virtualization linux administration sql db path
Engineering - Network,telecommunication engineer cctv cctv cctv installation installation controller installation installation installation software installation monitor cctv installation
Management,warehouse management wms management tms management sql query csv api analytical analyze root analysis data analysis design design testing uat
Product Management & Development,architectural design application design design database design deployment developer utilization engineering engineering electrical internet have manufacturing agile scrum
Business/System Analyst,analyst
Security,manage manage directory manage domain controller server manage server storage monitor analyze report manage server os windows linux maintain analyze report manage cloud server maintain analyze report maintain manage server maintain analyze report manage science maintain server storage hardware netapp window linux redhat debian ubuntu window server redhat debian ubuntu server domain controller monitor server ram storage monitoring maintain server edit windows server directory hardware problemsolving
Network & System Administration,maintain develop server hardware server software education engineeringinformation engineering window messaging proxy server internetworking tcpip backup have administration sql virus window server iis web server storage network san have mcp microsoft have microsoft engineer security virtualization vmware engineer engineer sql server developer
Business/System Analyst,analyst programming database management rdbms
Business/System Analyst,analyst have analysis have manufacturing analysis fsd uat maintain report management engineering maintain
Network & System Administration,
Database Development & Administration,male science manage maintain data management management database management sql php css javascript codeigniter laravel framework develop development manage maintain server security networking hardware software data security analyst programmer network hardware software data security backup maintenance security storage report sql query database management rdbms programming data analysis fmcg
Business/System Analyst,analyze design network security manage securityrelated monitor science analyst analyst network security management manage networking tcpip lanwan vpn security security iso azure devop maintain analytical problemsolving attractive
Business/System Analyst,analyst programming sql query
Business/System Analyst,development analyst analyst unify uml plsql query develop design diagram diagram analytical analyst
Business/System Analyst,application development mobile application application development analyst programmer analyst erd uml sql query analysis developer developer report developer management analyst analyze developer technological development technological developer analyst analyst sql query erp microsoft office
Business/System Analyst,nan
Business/System Analyst,sdlc design software designmodeling following unify uml diagram diagram database design logical database design software design visio logical analytical problemsolving analyst
Business/System Analyst,analyst programming sql query
Network & System Administration,analysis design dictionary programming design application application maintain software analyst analyst analyst utilize develop application develop analyst analyst education science engineering administration postgraduate analysis programming management manufacturing analyst network application application manage application application minicomputer microcomputer have query sql develop erp application erp microsoft
Business/System Analyst,
Network & System Administration,microsoft administrator office software administrator office
Developer/Programmer,application erp warehouse develop software manage software fb erp develop develop desktop web development sdlc waterfall agile desktop programming web frontend backend database management design development msql azure db sql desktop web mobile frontendbackend vbnet aspnet java php android java kotlin programming
Security,monitoring control repair management security monitor develop network security bcp electronic banking utilization controller report repair bod monitor audit development monitor internet control banking analytical security security office
Business/System Analyst,analyze design education informatics engineering informatics management engineering sql script programming net programming rdbms data management testing uat analysis analyst analyst path analyst
Management,
Network & System Administration,design analyze management analysis application analyze design application software design design develop software software uat maintenance maintenance have erp hr software management recruitment management analytical manage erphr microsoft office web have
Engineering - Network,management platform execute testing testing deployment analyze manage develop comply science software testing app testing scripting programming python develop ui api script testing jmeter postman app testing ddms mysql database sql script unixlinux linux command shell script analytical problemsolving troubleshoot testing engineer
Network & System Administration,
Network & System Administration,report report warehouse stock warehouse stock report stock education microsoft office excel admin chinese
Business/System Analyst,analyze management development design development design manage software development design analysis monitor verifying software development education engineering analysis microsoft crm erp analysis analysis accounting marketing
Network & System Administration,design configure maintain server network monitor troubleshoot hardware software network manage security backup data design maintain query science engineer financial server network windowslinux servers virtualization vmware hyperv cloud platform azure network administration vpn scripting powershell cybersecurity problemsolving manage ccna development
Business/System Analyst,software development lifecycle
Help Desk & IT Support,analyze troubleshoot application software hardware server education engineeringinformation engineering window server directory window window powershell tcpip lan wan sdwan wan endpoint security endpoint management mobile device management nas backup virtualization linux administration sql db path
Engineering - Network,telecommunication engineer cctv cctv cctv installation installation controller installation installation installation software installation monitor cctv installation
Management,warehouse management wms management tms management sql query csv api analytical analyze root analysis data analysis design design testing uat
Product Management & Development,architectural design application design design database design deployment developer utilization engineering engineering electrical internet have manufacturing agile scrum
Business/System Analyst,analyst
Security,manage manage directory manage domain controller server manage server storage monitor analyze report manage server os windows linux maintain analyze report manage cloud server maintain analyze report maintain manage server maintain analyze report manage science maintain server storage hardware netapp window linux redhat debian ubuntu window server redhat debian ubuntu server domain controller monitor server ram storage monitoring maintain server edit windows server directory hardware problemsolving
Network & System Administration,maintain develop server hardware server software education engineeringinformation engineering window messaging proxy server internetworking tcpip backup have administration sql virus window server iis web server storage network san have mcp microsoft have microsoft engineer security virtualization vmware engineer engineer sql server developer
Business/System Analyst,analyst programming database management rdbms
Business/System Analyst,analyst have analysis have manufacturing analysis fsd uat maintain report management engineering maintain
Network & System Administration,
Database Development & Administration,male science manage maintain data management management database management sql php css javascript codeigniter laravel framework develop development manage maintain server security networking hardware software data security analyst programmer network hardware software data security backup maintenance security storage report sql query database management rdbms programming data analysis fmcg
Business/System Analyst,analyze design network security manage securityrelated monitor science analyst analyst network security management manage networking tcpip lanwan vpn security security iso azure devop maintain analytical problemsolving attractive
Business/System Analyst,analyst programming sql query
Business/System Analyst,development analyst analyst unify uml plsql query develop design diagram diagram analytical analyst
Business/System Analyst,application development mobile application application development analyst programmer analyst erd uml sql query analysis developer developer report developer management analyst analyze developer technological development technological developer analyst analyst sql query erp microsoft office
Business/System Analyst,nan
Business/System Analyst,sdlc design software designmodeling following unify uml diagram diagram database design logical database design software design visio logical analytical problemsolving analyst
Business/System Analyst,analyst programming sql query
Network & System Administration,analysis design dictionary programming design application application maintain software analyst analyst analyst utilize develop application develop analyst analyst education science engineering administration postgraduate analysis programming management manufacturing analyst network application application manage application application minicomputer microcomputer have query sql develop erp application erp microsoft
Business/System Analyst,
Network & System Administration,microsoft administrator office software administrator office
Developer/Programmer,application erp warehouse develop software manage software fb erp develop develop desktop web development sdlc waterfall agile desktop programming web frontend backend database management design development msql azure db sql desktop web mobile frontendbackend vbnet aspnet java php android java kotlin programming
Security,monitoring control repair management security monitor develop network security bcp electronic banking utilization controller report repair bod monitor audit development monitor internet control banking analytical security security office
